filename,technology,layers,node_nm,total_area_mm2,read_latency_ns,write_latency_ns,read_energy_nJ,write_energy_nJ,read_edp_nJ_ns,write_edp_nJ_ns,leakage_power_mW,refresh_latency_us,normalized_total_area_mm2,improvement_total_area_mm2,normalized_read_latency_ns,improvement_read_latency_ns,normalized_write_latency_ns,improvement_write_latency_ns,normalized_read_energy_nJ,improvement_read_energy_nJ,normalized_write_energy_nJ,improvement_write_energy_nJ,normalized_leakage_power_mW,improvement_leakage_power_mW,normalized_read_edp_nJ_ns,improvement_read_edp_nJ_ns,normalized_write_edp_nJ_ns,improvement_write_edp_nJ_ns
RRAM_L1_45nm_output.txt,RRAM,1,45,0.865,3.068,9.207,0.062,0.203,0.190216,1.8690210000000003,2.416,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RRAM_L2_45nm_output.txt,RRAM,2,45,0.55,1.91,8.594,0.066,0.207,0.12606,1.7789579999999998,3.826,,0.635838,1.57273,0.622555,1.60628,0.93342,1.07133,1.06452,0.939394,1.0197,0.980676,1.58361,0.631469,0.66272,1.50893,0.951813,1.05063
RRAM_L4_45nm_output.txt,RRAM,4,45,0.329,1.882,8.59,0.127,0.268,0.23901399999999998,2.30212,3.851,,0.380347,2.62918,0.613429,1.63018,0.932986,1.07183,2.04839,0.488189,1.3202,0.757463,1.59396,0.62737,1.25654,0.795836,1.23173,0.811869
SRAM_L1_32nm_output.txt,SRAM,1,32,4.262,1.061,0.605,0.123,0.123,0.13050299999999998,0.074415,234.632,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRAM_L1_45nm_output.txt,SRAM,1,45,8.893,0.939,0.526,0.174,0.173,0.16338599999999998,0.090998,48.328,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRAM_L2_32nm_output.txt,SRAM,2,32,2.132,0.633,0.423,0.09,0.089,0.05697,0.037647,234.632,,0.500235,1.99906,0.596607,1.67615,0.699174,1.43026,0.731707,1.36667,0.723577,1.38202,1,1,0.436542,2.29073,0.505906,1.97665
SRAM_L2_45nm_output.txt,SRAM,2,45,5.245,0.654,0.367,0.133,0.132,0.086982,0.048444,51.269,,0.58979,1.69552,0.696486,1.43578,0.697719,1.43324,0.764368,1.30827,0.763006,1.31061,1.06085,0.942636,0.532371,1.87839,0.532363,1.87842
SRAM_L4_32nm_output.txt,SRAM,4,32,1.542,0.488,0.242,0.127,0.126,0.061975999999999996,0.030492,285.915,,0.361802,2.76394,0.459943,2.17418,0.4,2.5,1.03252,0.968504,1.02439,0.97619,1.21857,0.820636,0.474901,2.1057,0.409756,2.44048
SRAM_L4_45nm_output.txt,SRAM,4,45,3.451,0.455,0.22,0.181,0.181,0.082355,0.03982,69.576,,0.388058,2.57693,0.484558,2.06374,0.418251,2.39091,1.04023,0.961326,1.04624,0.955801,1.43966,0.694607,0.504052,1.98392,0.437592,2.28523
eDRAM_L1_32nm_output.txt,eDRAM,1,32,1.44,0.757,0.607,0.066,0.066,0.049962,0.040062,29.992,1.667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eDRAM_L1_45nm_output.txt,eDRAM,1,45,4.555,0.663,0.453,0.117,0.117,0.07757100000000001,0.053001000000000006,9.986,0.443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eDRAM_L2_32nm_output.txt,eDRAM,2,32,1.068,0.472,0.34,0.061,0.061,0.028791999999999998,0.02074,50.137,0.199,0.741667,1.34831,0.623514,1.60381,0.560132,1.78529,0.924242,1.08197,0.924242,1.08197,1.67168,0.598201,0.576278,1.73527,0.517698,1.93163
eDRAM_L2_45nm_output.txt,eDRAM,2,45,3.125,0.504,0.273,0.103,0.102,0.051912,0.027846,18.412,0.111,0.686059,1.4576,0.760181,1.31548,0.602649,1.65934,0.880342,1.13592,0.871795,1.14706,1.84378,0.542364,0.669219,1.49428,0.525386,1.90336
eDRAM_L4_32nm_output.txt,eDRAM,4,32,0.927,0.316,0.199,0.108,0.108,0.034128,0.021492,132.416,0.185,0.64375,1.5534,0.417437,2.39557,0.327842,3.05025,1.63636,0.611111,1.63636,0.611111,4.41504,0.226498,0.683079,1.46396,0.536468,1.86404
eDRAM_L4_45nm_output.txt,eDRAM,4,45,2.024,0.308,0.19,0.153,0.153,0.047124,0.02907,34.415,0.375,0.444347,2.25049,0.464555,2.1526,0.419426,2.38421,1.30769,0.764706,1.30769,0.764706,3.44632,0.290164,0.607495,1.6461,0.54848,1.82322
